H,PC,T,SU,S,W
high,green,30,leaf,female,0.2281
high,green,30,leaf,male,0.1644
high,green,30,leaf,male,0.164
high,green,30,leaf,female,0.2021
high,green,30,leaf,female,0.2203
high,green,30,leaf,female,0.2134
high,green,30,leaf,male,0.2068
high,green,27,leaf,female,0.2219
high,green,27,leaf,male,0.1925
high,green,27,leaf,female,0.2092
high,green,27,leaf,male,0.1319
high,green,27,leaf,male,0.1976
high,green,27,leaf,male,0.197
high,green,27,leaf,female,0.1656
high,green,27,leaf,female,0.1492
high,green,27,off-leaf,female,0.1905
high,green,19,leaf,female,0.1928
high,green,27,leaf,male,0.1378
high,green,27,leaf,female,0.1793
high,green,27,off-leaf,female,0.1955
high,green,27,off-leaf,female,0.1783
high,green,27,leaf,female,0.1772
high,green,27,leaf,female,0.1898
high,green,27,leaf,female,0.1594
high,green,27,leaf,female,0.1522
high,green,27,leaf,male,0.1567
high,green,27,leaf,male,0.2112
high,green,27,leaf,female,0.2024
high,green,27,leaf,female,0.1707
high,green,27,leaf,female,0.1581
high,green,27,off-leaf,male,0.1781
high,green,27,off-leaf,female,0.1348
high,green,27,leaf,male,0.1908
high,green,27,leaf,female,0.1702
high,green,21,leaf,male,0.1615
high,green,21,leaf,male,0.1151
high,green,21,leaf,female,0.1874
high,green,24,leaf,male,0.1716
high,green,30,leaf,male,0.1681
high,green,30,leaf,male,0.2136
high,green,30,off-leaf,female,0.1648
high,green,26,leaf,female,0.1841
high,green,26,off-leaf,female,0.1797
high,green,26,leaf,male,0.1547
high,green,27,leaf,male,0.1525
high,green,28,off-leaf,female,0.2148
high,green,28,leaf,female,0.185
high,green,27,leaf,male,0.1663
high,green,28,leaf,male,0.1624
high,green,28,off-leaf,female,0.1866
high,green,27,leaf,female,0.1709
high,green,27,leaf,female,0.2101
high,green,28,leaf,male,0.1726
high,green,28,leaf,male,0.1949
high,green,28,leaf,female,0.2285
high,green,39,leaf,female,0.1589
high,green,25,leaf,male,0.1668
high,green,25,leaf,female,0.146
high,green,25,off-leaf,female,0.1922
high,brown,25,off-leaf,female,0.1689
high,green,23,leaf,male,0.1872
high,green,36,leaf,female,0.1822
high,green,36,leaf,female,0.1878
high,green,36,leaf,male,0.1436
high,green,36,leaf,female,0.1638
high,green,29,leaf,male,0.1566
high,green,22,leaf,male,0.1732
high,green,22,leaf,female,0.2033
high,green,28,off-leaf,female,0.1417
high,green,30,leaf,female,0.1638
high,green,30,leaf,male,0.1504
high,green,30,leaf,female,0.2244
high,green,30,leaf,male,0.1229
high,green,34,leaf,female,0.2727
high,green,27,leaf,male,0.2011
high,green,27,leaf,female,0.1596
high,green,27,off-leaf,female,0.1645
high,green,27,off-leaf,female,0.1763
high,green,27,off-leaf,female,0.1787
high,green,27,leaf,male,0.1694
high,green,27,leaf,female,0.2205
high,green,27,leaf,female,0.1888
high,green,27,leaf,female,0.1763
high,green,27,leaf,female,0.1885
low,green,35,leaf,female,0.183
low,green,23,leaf,male,0.1906
low,green,24,leaf,male,0.2077
low,green,24,off-leaf,male,0.2576
low,brown,24,off-leaf,male,0.1777
low,green,26,off-leaf,female,0.1752
low,brown,23,off-leaf,female,0.1921
low,green,26,leaf,female,0.2169
low,green,26,leaf,female,0.2172
low,green,26,leaf,male,0.1646
low,green,23,off-leaf,female,0.2495
low,green,24,leaf,male,0.2254
low,green,27,leaf,male,0.2095
low,green,27,leaf,male,0.2093
low,green,27,leaf,male,0.2081
low,green,27,off-leaf,male,0.2193
low,green,53,leaf,male,0.2555
low,green,29,off-leaf,female,0.1918
low,green,29,leaf,female,0.2448
low,green,29,leaf,female,0.1834
low,green,29,off-leaf,male,0.1693
low,brown,26,off-leaf,male,0.1928
low,green,26,leaf,female,0.2769
low,green,26,leaf,female,0.183
low,green,26,leaf,female,0.2284
low,green,26,leaf,male,0.1818
low,green,29,leaf,female,0.2443
low,green,29,leaf,female,0.2539
low,green,29,off-leaf,male,0.1586
low,green,26,leaf,female,0.2302
low,green,26,leaf,male,0.1831
low,green,26,leaf,female,0.2213
low,green,26,off-leaf,male,0.1782
low,green,25,off-leaf,female,0.1799
low,green,28,off-leaf,female,0.2098
low,green,28,off-leaf,female,0.2003
low,green,28,leaf,female,0.2257
low,green,28,off-leaf,female,0.2173
low,green,27,leaf,female,0.2461
low,green,22,leaf,female,0.296
low,green,22,leaf,female,0.2068
low,green,22,leaf,female,0.2849
low,green,22,leaf,female,0.2367
low,green,21,leaf,male,0.1607
low,green,24,leaf,female,0.3121
low,green,24,leaf,female,0.2488
low,green,26,leaf,male,0.1497
low,green,25,off-leaf,female,0.1791
low,green,22,leaf,male,0.1604
low,green,28,off-leaf,female,0.1374
low,green,26,off-leaf,female,0.2434
low,green,26,off-leaf,female,0.2134
low,green,26,off-leaf,male,0.1291
low,green,26,off-leaf,male,0.1045
low,green,26,off-leaf,female,0.1182
low,green,26,leaf,female,0.1923
low,green,26,off-leaf,female,0.1259
low,brown,18,off-leaf,male,0.1824
low,green,26,off-leaf,male,0.1978
low,green,21,off-leaf,female,0.178
low,green,24,leaf,female,0.1774
low,green,24,leaf,female,0.1802
low,green,24,leaf,female,0.1522
low,green,23,off-leaf,male,0.1892
low,green,23,off-leaf,male,0.2076
low,green,23,off-leaf,female,0.2296
low,green,23,leaf,male,0.2016
low,green,23,off-leaf,male,0.1946
low,green,23,leaf,male,0.1869
low,green,26,off-leaf,female,0.1755
low,green,26,off-leaf,female,0.1657
low,green,22,leaf,female,0.2173
low,green,28,off-leaf,female,0.1791
low,green,28,leaf,female,0.1938
